QueueId,QueueThreadCount,SchedType,QueueMaxRemainingBursts,QueueMinRemainingBursts,QueueMeanRemainingBursts,QueueMedianRemainingBursts,QueueRangeRemainingBursts,QueueTotalRemainingBursts,CoreCount,CoreId,IsCoreIdle,CoreBurstAge,ThreadBurstsRan,ThreadBurstsRemaining,Action,AvgThreadThroughput,AvgThreadTurnaround
2,18,CFS,44,4,22.944,24,40,413,3,0,0,0,1,23,NEXT_FCFS,0.121622,100.889
66,1,HRRN,1,1,1,1,0,1,4,0,1,0,0,inf,NEXT_SJF,0.106667,34
2,14,CFS,31,1,14.643,13,30,205,1,0,0,0,13,14,NEXT_OTHER,0.04119,310.611
2,2,CFS,8,6,7,7,2,14,1,0,0,0,37,8,NEXT_SJF,0.04119,310.333
12,11,CFS,28,1,12.909,12,27,142,1,0,0,0,20,1,NEXT_OTHER,0.047191,262.19
2,5,CFS,8,1,4.2,2,7,21,1,0,0,0,36,1,NEXT_OTHER,0.04119,310.611
12,2,RR,7,1,4,4,6,8,4,0,1,0,0,inf,NEXT_SJF,0.177966,65.857
39,8,CFS,32,1,17.375,16,31,139,3,0,0,1,6,32,NEXT_RR,0.15493,39
48,11,MLFQ,28,1,14.273,15,27,157,2,0,0,0,16,1,NEXT_FCFS,0.088083,125.471
42,4,CFS,21,2,12.5,13.5,19,50,1,0,0,0,26,7,NEXT_FCFS,0.046083,123.9
10,20,CFS,35,2,16.85,17,33,337,1,0,0,0,12,17,NEXT_RR,0.039152,420.25
8,2,CFS,9,6,7.5,7.5,3,15,1,0,0,0,39,9,NEXT_OTHER,0.036667,218.727
17,11,CFS,25,1,14,16,24,154,4,0,0,1,25,16,NEXT_RR,0.155039,76.25
66,6,RR,32,7,19,17,25,114,3,2,0,1,12,11,NEXT_FCFS,0.111111,46.5
2,18,CFS,42,2,21.111,22,40,380,3,0,0,0,3,12,NEXT_RR,0.121622,100.722
12,15,MLFQ,41,1,21.467,20,40,322,3,0,0,0,6,13,NEXT_RR,0.139073,88.19
60,7,CFS,33,1,19,16,32,133,3,1,0,0,15,12,NEXT_OTHER,0.095238,59.75
64,4,MLFQ,38,6,21.75,21.5,32,87,2,1,0,0,0,14,NEXT_RR,0.076923,33.5
73,9,CFS,16,1,7,6,15,63,3,1,0,0,33,15,NEXT_OTHER,0.111732,118.85
0,20,CFS,43,1,24.95,21,42,499,3,1,0,0,5,36,NEXT_SJF,0.101449,151
2,13,CFS,30,1,14.923,13,29,194,3,1,0,0,14,12,NEXT_RR,0.121622,102.167
0,17,FCFS,48,5,25.647,26,43,436,3,0,0,22,22,21,NEXT_SJF,0.100962,114.095
0,7,CFS,17,9,12.571,13,8,88,3,0,0,0,32,13,NEXT_SJF,0.101449,152.857
57,8,CFS,48,4,29.75,36.5,44,238,4,2,0,1,2,48,NEXT_FCFS,0.115942,48
0,14,MLFQ,26,1,12.857,14,25,180,4,2,0,0,22,26,NEXT_RR,0.134615,115.381
0,8,SRT,49,6,35.5,42,43,284,4,0,0,4,4,39,NONE,0.122807,73.714
67,2,CFS,27,18,22.5,22.5,9,45,1,0,0,0,9,27,NEXT_OTHER,0.051282,49.5
71,24,CFS,47,1,27.417,31,46,658,1,0,0,0,1,29,NEXT_OTHER,0.03592,457.76
0,5,SRT,49,28,43,45,21,215,1,0,0,15,15,28,NONE,0.034091,247.952
12,18,FCFS,48,2,21.389,21.5,46,385,2,0,0,15,15,10,NONE,0.090517,119.762
76,3,CFS,20,7,14.333,16,13,43,2,0,0,0,25,16,NEXT_OTHER,0.064103,58
0,6,FCFS,48,6,22.667,23,42,136,3,1,0,0,0,26,NEXT_SJF,0.092105,114.286
0,19,CFS,39,4,21.684,16,35,412,3,0,0,1,10,16,NEXT_RR,0.101449,149.238
80,15,CFS,46,2,21.733,23,44,326,1,0,0,0,4,12,NEXT_OTHER,0.046036,246.167
13,7,CFS,17,6,12,14,11,84,2,1,0,1,30,6,NEXT_FCFS,0.085911,181.96
0,18,MLFQ,35,3,18.222,13,32,328,4,1,0,0,16,29,NEXT_SJF,0.134615,115.143
0,21,CFS,47,3,27.333,24,44,574,1,0,0,1,2,46,NEXT_SJF,0.034091,459.714
9,1,PSJF,7,7,7,7,0,7,2,1,1,0,0,inf,NEXT_SJF,0.106838,69.36
38,13,MLFQ,38,1,17.077,10,37,222,3,2,0,0,10,20,NEXT_SJF,0.142857,75.316
0,8,CFS,16,1,11,11.5,15,88,1,0,0,0,32,11,NEXT_RR,0.034091,457.762
38,17,RR,48,1,20.824,18,47,354,4,2,0,0,0,30,NEXT_FCFS,0.184466,55.526
12,12,CFS,29,1,13.417,11,28,161,1,0,0,0,18,5,NEXT_OTHER,0.047191,262.19
40,15,CFS,36,1,18,21,35,270,1,0,0,0,13,23,NEXT_OTHER,0.040541,339.143
17,6,RR,13,3,7.667,8,10,46,4,2,0,3,41,6,NEXT_SJF,0.153846,79.8
13,15,HRRN,46,3,27.067,26,43,406,4,0,0,8,8,7,NONE,0.151515,69.04
34,22,CFS,44,4,19.455,16,40,428,1,0,0,0,0,16,NEXT_RR,0.049107,263.273
57,7,MLFQ,34,3,19.143,17,31,134,4,3,0,10,13,27,NEXT_SJF,0.109589,51.625
83,21,CFS,44,1,22.19,23,43,466,1,0,0,0,3,6,NEXT_OTHER,0.039927,364.091
37,11,RR,29,2,15.273,14,27,168,4,2,0,4,20,29,NEXT_SJF,0.122807,80.571
57,6,CFS,33,4,21.833,24.5,29,131,1,0,0,0,16,24,NEXT_FCFS,0.031496,185
57,4,CFS,11,2,5.25,4,9,21,1,0,0,0,38,4,NEXT_OTHER,0.031496,188.25
12,15,CFS,42,1,21.867,20,41,328,1,0,0,0,6,19,NEXT_FCFS,0.047191,261
13,19,CFS,35,1,18,17,34,342,2,1,0,0,11,4,NEXT_OTHER,0.085616,183.16
2,18,PSJF,45,2,23.611,25,43,425,4,1,0,3,3,5,NONE,0.136364,52.444
0,18,CFS,35,5,18.389,13,30,331,3,1,0,0,14,29,NEXT_RR,0.101449,150.048
65,1,CFS,20,20,20,20,0,20,2,0,0,11,11,20,NONE,0.064516,19.5
0,20,CFS,44,2,25.55,21,42,511,3,1,0,1,5,43,NEXT_FCFS,0.100962,151.667
65,2,CFS,30,6,18,18,24,36,1,0,0,0,1,30,NEXT_OTHER,0.051282,27
0,21,CFS,48,4,28.333,25,44,595,3,2,0,1,1,19,NEXT_FCFS,0.101449,149.476
39,7,RR,32,2,19,16,30,133,3,1,0,6,6,14,NEXT_SJF,0.157143,38.091
34,17,RR,45,3,19.647,19,42,334,2,0,0,0,0,8,NEXT_SJF,0.097345,132.409
16,9,CFS,44,1,19.778,16,43,178,1,0,0,0,5,22,NEXT_OTHER,0.039301,153.556
39,10,FCFS,39,1,17.8,15,38,178,4,0,0,6,6,1,NONE,0.196429,32.818
57,5,MLFQ,19,7,10.4,8,12,52,2,1,0,0,30,7,NEXT_RR,0.060606,97
38,9,RR,32,2,14.444,15,30,130,4,2,0,0,16,4,NEXT_FCFS,0.182692,56.526
0,1,PSJF,7,7,7,7,0,7,3,0,1,0,0,inf,NEXT_SJF,0.09375,92.952
0,8,CFS,21,6,15.75,16,15,126,1,0,0,0,27,6,NEXT_FCFS,0.034091,454.19
67,2,CFS,21,14,17.5,17.5,7,35,1,0,0,0,14,14,NEXT_OTHER,0.051282,49.5
33,8,CFS,34,1,19.25,23,33,154,2,1,0,0,15,1,NEXT_OTHER,0.070064,107.273
0,9,MLFQ,23,2,15.556,17,21,140,4,3,0,0,26,17,NEXT_SJF,0.134615,115.381
32,10,CFS,40,5,19.2,19,35,192,3,0,0,0,6,5,NEXT_FCFS,0.11828,56.727
9,21,RR,48,1,15.762,10,47,331,4,3,0,7,7,9,NEXT_SJF,0.215517,60.92
27,4,CFS,28,1,19,23.5,27,76,2,0,0,0,21,24,NEXT_OTHER,0.075472,65.375
2,2,SRT,19,5,12,12,14,24,3,1,0,39,39,5,NONE,0.111111,65.278
34,22,CFS,41,1,16.455,13,40,362,1,0,0,0,3,8,NEXT_OTHER,0.049107,270.773
0,18,MLFQ,35,4,18.667,13.5,31,336,4,2,0,0,13,13,NEXT_RR,0.134615,115.381
0,19,MLFQ,36,1,18.526,14,35,352,4,3,0,0,15,9,NEXT_SJF,0.134615,115.381
0,9,CFS,23,2,15.444,17,21,139,3,0,0,0,26,19,NEXT_FCFS,0.101449,153.238
0,21,CFS,46,3,26.905,24,43,565,3,2,0,0,2,5,NEXT_RR,0.101449,150.619
0,19,CFS,41,6,24.211,19,35,460,3,1,0,0,7,34,NEXT_FCFS,0.101449,152.762
38,6,RR,26,7,17.667,17.5,19,106,2,0,0,0,21,24,NEXT_RR,0.096939,114
60,6,MLFQ,28,3,15.333,15.5,25,92,2,0,0,0,24,7,NEXT_RR,0.064516,88.875
63,9,PSJF,41,2,24.222,26,39,218,4,0,0,1,1,2,NONE,0.128571,34.222
48,2,CFS,4,2,3,3,2,6,1,0,0,0,40,4,NEXT_OTHER,0.044156,251.294
0,19,CFS,37,2,19.526,14,35,371,1,0,0,0,12,2,NEXT_FCFS,0.034091,457.095
